 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0051,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Diptera,Tephritidae,,,,,,E. Rivera,CITE2,,,,,,,,,,,,,
SWG23_0052,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,E. Rivera,CITE2,,,,,,,,,,,,,
SWG23_0053,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0054,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Cerambycidae,Typocerus,,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0055,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0056,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Dermestidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0057,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Dermestidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0058,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Dermestidae,,,,,,H. Afshar,MOCI,,,,,,,,,,,,,
SWG23_0059,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,Pinned,M. Caballero,PRGL,,,,,,,,,,,,,
SWG23_0060,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Lepidoptera,Lycaenidae,Echinargus,isola,,,Pinned,R. Kusumo,RACO3,,,,,,,,,,,,,
SWG23_0061,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,ASVI2,,,,,,,,,,,,,
SWG23_0062,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Diptera,Syrfidae,,,,,,E. Rivera,GAPU,,,,,,,,,,,,,
SWG23_0063,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Scarabaeidae,Trichiotinus,texanus,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0064,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0065,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0066,1 VI 23,Jha Lab-UT,Waco Area 12,PM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Coleoptera,Meloidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
